id,name,latitude,longitude,sector,subsector,assetType,sourceType,pollution_type,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,source_file,wte_class,waste_type,how_used,energy_generated,needed_hardware,wte_score,wte_confidence,wte_reason,second_best_wte_class,second_best_wte_score,classification_note
1293773,Abu Hummus Subdivision,31.10592556000008,30.30900253634874,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,88.32898,8.539499826217837e-08,t of CH4 per MJ,1034357770.33233,MJ,99209605.59684002,m^2,10.425984098109105,2024,egy_ch4_source.csv,,,,,,,,,,,
1293745,Aja Subdivision,30.892832756500155,31.316376738254935,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,88.23136,6.376971925103998e-08,t of CH4 per MJ,1383593358.04291,MJ,132706260.09119998,m^2,10.425984102724774,2024,egy_ch4_source.csv,,,,,,,,,,,
1293782,Ityay al-Barud Subdivision,30.88930606900007,30.65673019765368,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,85.87827,6.851599795475217e-08,t of CH4 per MJ,1253404643.63832,MJ,120219312.48048,m^2,10.425984126650492,2024,egy_ch4_source.csv,,,,,,,,,,,
1295791,Abu Hammad Subdivision,30.54394817350007,31.678930143559022,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,85.73915000000001,6.17248628888605e-08,t of CH4 per MJ,1389053713.3209798,MJ,133229986.28424002,m^2,10.425984060056104,2024,egy_ch4_source.csv,,,,,,,,,,,
1295827,Diyarb Najm Subdivision,30.75341987550005,31.44510264525161,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,85.66288,7.810705875845802e-08,t of CH4 per MJ,1096736727.2772102,MJ,105192634.15332,m^2,10.425984063472528,2024,egy_ch4_source.csv,,,,,,,,,,,
1293784,Kawm Hamadah Subdivision,30.656234740500086,30.77441499100818,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,84.90574000000001,6.401091689744881e-08,t of CH4 per MJ,1326425930.37726,MJ,127223091.30635996,m^2,10.4259841256581,2024,egy_ch4_source.csv,,,,,,,,,,,
1293888,Al-Marj Subdivision,30.155785560500078,31.347276044325554,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,84.71133,7.466873950658036e-08,t of CH4 per MJ,1134495246.06659,MJ,108814211.90112,m^2,10.42598412694025,2024,egy_ch4_source.csv,,,,,,,,,,,
1293841,Al-Badrashayn Subdivision,29.82671848050012,31.260656939541363,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,81.11612,6.91100596425073e-08,t of CH4 per MJ,1173723773.63871,MJ,112576786.01112,m^2,10.425984034779365,2024,egy_ch4_source.csv,,,,,,,,,,,
1293861,Quwaysina Subdivision,30.558578491000052,31.161768358059735,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,80.60323000000001,6.233019322397008e-08,t of CH4 per MJ,1293165091.1199603,MJ,124032904.61963998,m^2,10.425984097410185,2024,egy_ch4_source.csv,,,,,,,,,,,
1293930,Shubra al-Khaymah 1 Subdivision,30.132360459000097,31.247554375297682,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,79.54538,1.1478248964177308e-07,t of CH4 per MJ,693009711.22211,MJ,66469476.88979998,m^2,10.42598413059657,2024,egy_ch4_source.csv,,,,,,,,,,,
